ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2027,2.995122012
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2028,2.995122012
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2029,3.319936869
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2030,3.319936869
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2031,3.319936869
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2021,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2022,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2023,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2024,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2025,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2026,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2027,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,GA,2028,2.444308284
