InstYear,EnergyConvTechFiltered,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,OutputFromECTiyUsingImpInput
2025,EG_COAL,2025,MONSOON,ALLDAYS,MORN,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MORN,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MORN,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,MONSOON,ALLDAYS,MORN,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MID,INDIA,ER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MID,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MID,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MID,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,MONSOON,ALLDAYS,MID,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EVENING,INDIA,ER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EVENING,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EVENING,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EVENING,INDIA,SR,18.564
2025,EG_COAL,2025,MONSOON,ALLDAYS,EVENING,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,NIGHT,INDIA,ER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,NIGHT,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,NIGHT,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,NIGHT,INDIA,SR,24.023999999999987
2025,EG_COAL,2025,MONSOON,ALLDAYS,NIGHT,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EARLY,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EARLY,INDIA,WR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EARLY,INDIA,NR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EARLY,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EARLY,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MORN,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MORN,INDIA,WR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MORN,INDIA,NR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MORN,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MORN,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MID,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MID,INDIA,WR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MID,INDIA,NR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MID,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,AUTUMN,ALLDAYS,MID,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EVENING,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EVENING,INDIA,WR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EVENING,INDIA,NR,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EVENING,INDIA,SR,18.564
2025,EG_COAL,2025,AUTUMN,ALLDAYS,EVENING,INDIA,NER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,0.0
2025,EG_COAL,2025,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,0.0
