EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,PPC_CCUS,,2036,GHG,30.79474415,30.79474415
CEMENT,PSC_Norm,,2036,GHG,157.9718802,157.9718802
CEMENT,PSC_CCUS,,2036,GHG,15.79718802,15.79718802
CEMENT,CC_Norm,,2036,GHG,197.4236695,197.4236695
CEMENT,LC3_Norm,,2036,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2037,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2037,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2037,GHG,305.5923474,305.5923474
CEMENT,PPC_CCUS,,2037,GHG,30.55923474,30.55923474
CEMENT,PSC_Norm,,2037,GHG,154.8318031,154.8318031
CEMENT,PSC_CCUS,,2037,GHG,15.48318031,15.48318031
CEMENT,CC_Norm,,2037,GHG,194.9200768,194.9200768
CEMENT,LC3_Norm,,2037,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2038,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2038,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2038,GHG,303.2552645,303.2552645
CEMENT,PPC_CCUS,,2038,GHG,30.32552645,30.32552645
CEMENT,PSC_Norm,,2038,GHG,151.7541428,151.7541428
CEMENT,PSC_CCUS,,2038,GHG,15.17541428,15.17541428
CEMENT,CC_Norm,,2038,GHG,192.4482329,192.4482329
CEMENT,LC3_Norm,,2038,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2039,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2039,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2039,GHG,300.9360549,300.9360549
CEMENT,PPC_CCUS,,2039,GHG,30.09360549,30.09360549
CEMENT,PSC_Norm,,2039,GHG,148.7376585,148.7376585
CEMENT,PSC_CCUS,,2039,GHG,14.87376585,14.87376585
CEMENT,CC_Norm,,2039,GHG,190.0077353,190.0077353
CEMENT,LC3_Norm,,2039,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2040,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2040,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2040,GHG,298.6345819,298.6345819
CEMENT,PPC_CCUS,,2040,GHG,29.86345819,29.86345819
CEMENT,PSC_Norm,,2040,GHG,145.7811342,145.7811342
CEMENT,PSC_CCUS,,2040,GHG,14.57811342,14.57811342
CEMENT,CC_Norm,,2040,GHG,187.5981864,187.5981864
CEMENT,LC3_Norm,,2040,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2041,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2041,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2041,GHG,296.35071,296.35071
CEMENT,PPC_CCUS,,2041,GHG,29.635071,29.635071
CEMENT,PSC_Norm,,2041,GHG,142.883378,142.883378
CEMENT,PSC_CCUS,,2041,GHG,14.2883378,14.2883378
CEMENT,CC_Norm,,2041,GHG,185.2191937,185.2191937
CEMENT,LC3_Norm,,2041,GHG,264.5988482,264.5988482
ALUMINIUM,PRIMARY_Norm,,2022,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2023,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2024,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2025,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2026,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2027,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2028,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2029,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2030,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2031,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2032,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2033,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2034,GHG,3700,3700
ALUMINIUM,PRIMARY_Norm,,2035,GHG,3700,3700
