EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_WIND,INDIA,NR,HR,2024,0.003259287,0
EG_WIND,INDIA,NR,HR,2025,0.005432144,0
EG_WIND,INDIA,NR,HR,2026,0.007605002,0
EG_WIND,INDIA,NR,HR,2027,0.007605002,0
EG_WIND,INDIA,NR,HR,2028,0.007605002,0
EG_WIND,INDIA,NR,HR,2029,0.007605002,0
EG_WIND,INDIA,NR,HR,2030,0.007605002,0
EG_WIND,INDIA,NR,HR,2031,0.007605002,0
EG_WIND,INDIA,NR,HP,2021,0,0
EG_WIND,INDIA,NR,HP,2022,0,0
EG_WIND,INDIA,NR,HP,2023,0,0
EG_WIND,INDIA,NR,HP,2024,0.001174588,0
EG_WIND,INDIA,NR,HP,2025,0.001957646,0
EG_WIND,INDIA,NR,HP,2026,0.002740705,0
EG_WIND,INDIA,NR,HP,2027,0.002740705,0
EG_WIND,INDIA,NR,HP,2028,0.002740705,0
EG_WIND,INDIA,NR,HP,2029,0.002740705,0
EG_WIND,INDIA,NR,HP,2030,0.002740705,0
EG_WIND,INDIA,NR,HP,2031,0.002740705,0
EG_WIND,INDIA,NR,JK,2021,0,0
EG_WIND,INDIA,NR,JK,2022,0,0
EG_WIND,INDIA,NR,JK,2023,0,0
EG_WIND,INDIA,NR,JK,2024,2.33362E-05,0
EG_WIND,INDIA,NR,JK,2025,3.88936E-05,0
EG_WIND,INDIA,NR,JK,2026,5.44511E-05,0
EG_WIND,INDIA,NR,JK,2027,5.44511E-05,0
EG_WIND,INDIA,NR,JK,2028,5.44511E-05,0
EG_WIND,INDIA,NR,JK,2029,5.44511E-05,0
EG_WIND,INDIA,NR,JK,2030,5.44511E-05,0
EG_WIND,INDIA,NR,JK,2031,5.44511E-05,0
EG_WIND,INDIA,ER,JH,2021,0,0
EG_WIND,INDIA,ER,JH,2022,0,0
EG_WIND,INDIA,ER,JH,2023,0,0
EG_WIND,INDIA,ER,JH,2024,0,0
EG_WIND,INDIA,ER,JH,2025,0,0
