Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,NR,HP,RES_COOL,AC,4STARAC,ELECTRICITY,6.27416E-08
2024,RURAL,INDIA,NR,HP,RES_COOL,AC,5STARAC,ELECTRICITY,5.90247E-08
2024,RURAL,INDIA,NR,HP,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.79121E-07
2024,RURAL,INDIA,NR,HP,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.7535E-08
2024,RURAL,INDIA,NR,HP,RES_TV,TV,AVGTV,ELECTRICITY,1.1372E-08
2024,RURAL,INDIA,NR,HP,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,NR,HP,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,NR,HP,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,NR,HP,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,NR,HP,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,NR,HR,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,NR,HR,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18298E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.77166E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.22098E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.69979E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.75526E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.98597E-08
2024,RURAL,INDIA,NR,HR,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.31326E-08
2024,RURAL,INDIA,NR,HR,RES_COOL,AC,3STARAC,ELECTRICITY,7.04558E-08
2024,RURAL,INDIA,NR,HR,RES_COOL,AC,4STARAC,ELECTRICITY,6.23807E-08
2024,RURAL,INDIA,NR,HR,RES_COOL,AC,5STARAC,ELECTRICITY,5.86387E-08
2024,RURAL,INDIA,NR,HR,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.79108E-07
2024,RURAL,INDIA,NR,HR,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.7857E-08
2024,RURAL,INDIA,NR,HR,RES_TV,TV,AVGTV,ELECTRICITY,1.13321E-08
2024,RURAL,INDIA,NR,HR,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,NR,HR,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,NR,HR,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,NR,HR,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,NR,HR,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,ER,JH,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,ER,JH,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18311E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.67378E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.1304E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.61722E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.64441E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.88641E-08
2024,RURAL,INDIA,ER,JH,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.22506E-08
2024,RURAL,INDIA,ER,JH,RES_COOL,AC,3STARAC,ELECTRICITY,7.04445E-08
2024,RURAL,INDIA,ER,JH,RES_COOL,AC,4STARAC,ELECTRICITY,6.23669E-08
2024,RURAL,INDIA,ER,JH,RES_COOL,AC,5STARAC,ELECTRICITY,5.86213E-08
2024,RURAL,INDIA,ER,JH,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.78794E-07
2024,RURAL,INDIA,ER,JH,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.676E-08
2024,RURAL,INDIA,ER,JH,RES_TV,TV,AVGTV,ELECTRICITY,1.10943E-08
2024,RURAL,INDIA,ER,JH,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,ER,JH,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,ER,JH,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,ER,JH,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,ER,JH,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,NR,JK,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,NR,JK,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18307E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.71663E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.17022E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.65363E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.69519E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.93223E-08
2024,RURAL,INDIA,NR,JK,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.26582E-08
2024,RURAL,INDIA,NR,JK,RES_COOL,AC,3STARAC,ELECTRICITY,7.12046E-08
2024,RURAL,INDIA,NR,JK,RES_COOL,AC,4STARAC,ELECTRICITY,6.32259E-08
2024,RURAL,INDIA,NR,JK,RES_COOL,AC,5STARAC,ELECTRICITY,5.9557E-08
2024,RURAL,INDIA,NR,JK,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.79271E-07
2024,RURAL,INDIA,NR,JK,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.69541E-08
2024,RURAL,INDIA,NR,JK,RES_TV,TV,AVGTV,ELECTRICITY,1.11041E-08
2024,RURAL,INDIA,NR,JK,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,NR,JK,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,NR,JK,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,NR,JK,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,NR,JK,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,SR,KA,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,SR,KA,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18293E-08
