ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,WR,GA,2027,39975
INDIA,WR,GA,2028,39975
INDIA,WR,GA,2029,39975
INDIA,WR,GA,2030,39975
INDIA,WR,GA,2031,39312.74829039804
INDIA,WR,GA,2032,38661.467871024244
INDIA,WR,GA,2033,38020.97698438742
INDIA,WR,GA,2034,37391.09688410855
INDIA,WR,GA,2035,36771.65178503679
INDIA,WR,GA,2036,36162.468814191794
INDIA,WR,GA,2037,35563.37796251885
INDIA,WR,GA,2038,34974.212037443205
INDIA,WR,GA,2039,34394.80661621047
INDIA,WR,GA,2040,33825.00000000001
INDIA,WR,GA,2041,33264.63316879835
INDIA,WR,GJ,2014,39975
INDIA,WR,GJ,2015,39975
INDIA,WR,GJ,2016,39975
INDIA,WR,GJ,2017,39975
INDIA,WR,GJ,2018,39975
INDIA,WR,GJ,2019,39975
INDIA,WR,GJ,2020,39975
INDIA,WR,GJ,2021,39975
INDIA,WR,GJ,2022,39975
INDIA,WR,GJ,2023,39975
INDIA,WR,GJ,2024,39975
INDIA,WR,GJ,2025,39975
INDIA,WR,GJ,2026,39975
INDIA,WR,GJ,2027,39975
INDIA,WR,GJ,2028,39975
INDIA,WR,GJ,2029,39975
INDIA,WR,GJ,2030,39975
INDIA,WR,GJ,2031,39312.74829039804
INDIA,WR,GJ,2032,38661.467871024244
INDIA,WR,GJ,2033,38020.97698438742
INDIA,WR,GJ,2034,37391.09688410855
INDIA,WR,GJ,2035,36771.65178503679
INDIA,WR,GJ,2036,36162.468814191794
INDIA,WR,GJ,2037,35563.37796251885
INDIA,WR,GJ,2038,34974.212037443205
INDIA,WR,GJ,2039,34394.80661621047
INDIA,WR,GJ,2040,33825.00000000001
INDIA,WR,GJ,2041,33264.63316879835
INDIA,WR,MH,2014,39975
INDIA,WR,MH,2015,39975
INDIA,WR,MH,2016,39975
INDIA,WR,MH,2017,39975
INDIA,WR,MH,2018,39975
INDIA,WR,MH,2019,39975
INDIA,WR,MH,2020,39975
INDIA,WR,MH,2021,39975
INDIA,WR,MH,2022,39975
INDIA,WR,MH,2023,39975
INDIA,WR,MH,2024,39975
INDIA,WR,MH,2025,39975
INDIA,WR,MH,2026,39975
INDIA,WR,MH,2027,39975
INDIA,WR,MH,2028,39975
INDIA,WR,MH,2029,39975
INDIA,WR,MH,2030,39975
INDIA,WR,MH,2031,39312.74829039804
INDIA,WR,MH,2032,38661.467871024244
INDIA,WR,MH,2033,38020.97698438742
INDIA,WR,MH,2034,37391.09688410855
INDIA,WR,MH,2035,36771.65178503679
INDIA,WR,MH,2036,36162.468814191794
INDIA,WR,MH,2037,35563.37796251885
INDIA,WR,MH,2038,34974.212037443205
INDIA,WR,MH,2039,34394.80661621047
INDIA,WR,MH,2040,33825.00000000001
INDIA,WR,MH,2041,33264.63316879835
INDIA,WR,MP,2014,39975
INDIA,WR,MP,2015,39975
INDIA,WR,MP,2016,39975
INDIA,WR,MP,2017,39975
INDIA,WR,MP,2018,39975
