EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2022,SPRING,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2023,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2023,SUMMER,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2023,SUMMER,ALLDAYS,MID,INDIA,ER,0.58306819
