Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2025,RURAL,INDIA,WR,MP,62483000,13925001
2035,URBAN,INDIA,WR,MH,70207000,23164472
2026,RURAL,INDIA,WR,MP,63117000,14187462
2036,URBAN,INDIA,WR,MH,70925000,23775559
2027,RURAL,INDIA,WR,MP,63685000,14438449
2037,URBAN,INDIA,WR,MH,71643000,24400266
2028,RURAL,INDIA,WR,MP,64206000,14681960
2038,URBAN,INDIA,WR,MH,72385543,25047365
2029,RURAL,INDIA,WR,MP,64725000,14928133
2039,URBAN,INDIA,WR,MH,73135781,25711624
2030,RURAL,INDIA,WR,MP,65242000,15176993
2040,URBAN,INDIA,WR,MH,73893795,26393500
2031,RURAL,INDIA,WR,MP,65757000,15428563
2041,URBAN,INDIA,WR,MH,74659665,27093459
2032,RURAL,INDIA,WR,MP,66219000,15670798
2021,URBAN,INDIA,SR,AP,18446000,5911257
2033,RURAL,INDIA,WR,MP,66642000,15906753
2022,URBAN,INDIA,SR,AP,18841000,6118200
2034,RURAL,INDIA,WR,MP,67063000,16145129
2023,URBAN,INDIA,SR,AP,19226000,6326314
2035,RURAL,INDIA,WR,MP,67483000,16386189
2024,URBAN,INDIA,SR,AP,19615000,6540218
2036,RURAL,INDIA,WR,MP,67900000,16629468
2025,URBAN,INDIA,SR,AP,20009000,6760385
2037,RURAL,INDIA,WR,MP,68319000,16876217
2026,URBAN,INDIA,SR,AP,20407000,6986623
2038,RURAL,INDIA,WR,MP,68755602,17130369
2027,URBAN,INDIA,SR,AP,20789000,7212135
2039,RURAL,INDIA,WR,MP,69194994,17388348
2028,URBAN,INDIA,SR,AP,21161000,7438897
2040,RURAL,INDIA,WR,MP,69637193,17650212
2029,URBAN,INDIA,SR,AP,21536000,7671486
2041,RURAL,INDIA,WR,MP,70082219,17916020
2030,URBAN,INDIA,SR,AP,21915000,7910392
2031,URBAN,INDIA,SR,AP,22299000,8156128
2032,URBAN,INDIA,SR,AP,22667000,8401074
2021,RURAL,INDIA,WR,MH,64619000,14474687
2033,URBAN,INDIA,SR,AP,23025000,8647339
2022,RURAL,INDIA,WR,MH,64822000,14571635
2034,URBAN,INDIA,SR,AP,23386000,8899813
2023,RURAL,INDIA,WR,MH,64984000,14659840
2035,URBAN,INDIA,SR,AP,23751000,9159019
2024,RURAL,INDIA,WR,MH,65142000,14747581
2036,URBAN,INDIA,SR,AP,24118000,9424329
2025,RURAL,INDIA,WR,MH,65293000,14834169
2037,URBAN,INDIA,SR,AP,24486000,9695475
2026,RURAL,INDIA,WR,MH,65439000,14920046
2038,URBAN,INDIA,SR,AP,24870810,9978914
2027,RURAL,INDIA,WR,MH,65537000,14995363
2039,URBAN,INDIA,SR,AP,25261667,10270639
2028,RURAL,INDIA,WR,MH,65601000,15063219
2040,URBAN,INDIA,SR,AP,25658667,10570892
2029,RURAL,INDIA,WR,MH,65659000,15129986
2041,URBAN,INDIA,SR,AP,26061905,10879923
2030,RURAL,INDIA,WR,MH,65712000,15195880
2021,URBAN,INDIA,SR,KA,28817000,8168379
2031,RURAL,INDIA,WR,MH,65761000,15261123
2022,URBAN,INDIA,SR,KA,29339000,8329059
2032,RURAL,INDIA,WR,MH,65756000,15314061
2023,URBAN,INDIA,SR,KA,29848000,8486515
2033,RURAL,INDIA,WR,MH,65715000,15358769
2024,URBAN,INDIA,SR,KA,30361000,8645573
2034,RURAL,INDIA,WR,MH,65669000,15402429
2025,URBAN,INDIA,SR,KA,30879000,8806523
2035,RURAL,INDIA,WR,MH,65618000,15445028
2026,URBAN,INDIA,SR,KA,31402000,8969373
2036,RURAL,INDIA,WR,MH,65563000,15486792
2027,URBAN,INDIA,SR,KA,31906000,9127265
2037,RURAL,INDIA,WR,MH,65507000,15528420
2028,URBAN,INDIA,SR,KA,32398000,9282181
2038,RURAL,INDIA,WR,MH,65464763,15573422
2029,URBAN,INDIA,SR,KA,32895000,9438984
2039,RURAL,INDIA,WR,MH,65422552,15618555
2030,URBAN,INDIA,SR,KA,33396000,9597395
2040,RURAL,INDIA,WR,MH,65380369,15663819
2031,URBAN,INDIA,SR,KA,33900000,9757131
2041,RURAL,INDIA,WR,MH,65338212,15709213
2032,URBAN,INDIA,SR,KA,34387000,9912433
2033,URBAN,INDIA,SR,KA,34862000,10064723
2034,URBAN,INDIA,SR,KA,35340000,10218322
2021,RURAL,INDIA,ER,OD,37174000,9766011
2035,URBAN,INDIA,SR,KA,35822000,10373526
2022,RURAL,INDIA,ER,OD,37346000,9918923
2036,URBAN,INDIA,SR,KA,36308000,10530341
